category,hour,game,lat,lon,home,win
WARRANTS,23,Game 1,-122.415085666416,37.7792390689538,away,win
ASSAULT,23,Game 1,-122.394985875925,37.7770909534023,away,win
ROBBERY,23,Game 1,-122.420013069308,37.7569686092292,away,win
OTHER OFFENSES,23,Game 1,-122.420013069308,37.7569686092292,away,win
NON-CRIMINAL,23,Game 1,-122.403404791479,37.775420706711,away,win
WARRANTS,22,Game 1,-122.418108925859,37.7594801325769,away,win
DRUG/NARCOTIC,22,Game 1,-122.414056291891,37.7827931071006,away,win
OTHER OFFENSES,22,Game 1,-122.414056291891,37.7827931071006,away,win
OTHER OFFENSES,22,Game 1,-122.420402463683,37.7891643767731,away,win
STOLEN PROPERTY,22,Game 1,-122.420402463683,37.7891643767731,away,win
VANDALISM,22,Game 1,-122.419478247917,37.763050767731,away,win
WARRANTS,22,Game 1,-122.419478247917,37.763050767731,away,win
LARCENY/THEFT,22,Game 1,-122.397814506334,37.7821372491619,away,win
ASSAULT,22,Game 1,-122.416991089644,37.777074192256,away,win
ASSAULT,22,Game 1,-122.416991089644,37.777074192256,away,win
ASSAULT,22,Game 1,-122.416991089644,37.777074192256,away,win
OTHER OFFENSES,22,Game 1,-122.416991089644,37.777074192256,away,win
LARCENY/THEFT,22,Game 1,-122.413163134276,37.7749926445385,away,win
NON-CRIMINAL,22,Game 1,-122.411612378034,37.7737679567236,away,win
LARCENY/THEFT,21,Game 1,-122.423031175088,37.7854818747419,away,win
LARCENY/THEFT,21,Game 1,-122.421798040888,37.7964404207928,away,win
SECONDARY CODES,21,Game 1,-122.421835482563,37.7836653823561,away,win
ASSAULT,21,Game 1,-122.421835482563,37.7836653823561,away,win
TRESPASS,21,Game 1,-122.415414178631,37.784476659022,away,win
LARCENY/THEFT,21,Game 1,-122.404033177237,37.7907593489246,away,win
VEHICLE THEFT,21,Game 1,-122.410246127857,37.7630304437725,away,win
DRUG/NARCOTIC,20,Game 1,-122.407163046954,37.7797376338991,away,win
STOLEN PROPERTY,20,Game 1,-122.407163046954,37.7797376338991,away,win
VEHICLE THEFT,20,Game 1,-122.407604807913,37.7561097891474,away,win
ROBBERY,20,Game 1,-122.414029821727,37.7823291237659,away,win
ASSAULT,20,Game 1,-122.414029821727,37.7823291237659,away,win
NON-CRIMINAL,20,Game 1,-122.421382146152,37.8064907829801,away,win
SUSPICIOUS OCC,20,Game 1,-122.421382146152,37.8064907829801,away,win
LARCENY/THEFT,20,Game 1,-122.419331147814,37.7622643357423,away,win
LARCENY/THEFT,20,Game 1,-122.418467747931,37.7879652569797,away,win
LARCENY/THEFT,20,Game 1,-122.419486234049,37.7887480806774,away,win
FRAUD,20,Game 1,-122.403404791479,37.775420706711,away,win
LARCENY/THEFT,20,Game 1,-122.418634830982,37.7891513547998,away,win
FORGERY/COUNTERFEITING,20,Game 1,-122.418467747931,37.7879652569797,away,win
LARCENY/THEFT,20,Game 1,-122.406324313914,37.7536322498822,away,win
DRUG/NARCOTIC,19,Game 1,-122.414406029855,37.7841907151119,away,win
DRUG/NARCOTIC,19,Game 1,-122.414406029855,37.7841907151119,away,win
DRUG/NARCOTIC,19,Game 1,-122.414406029855,37.7841907151119,away,win
NON-CRIMINAL,19,Game 1,-122.41723150829,37.7905267188782,away,win
LARCENY/THEFT,19,Game 1,-122.405973153434,37.794250188811,away,win
LARCENY/THEFT,19,Game 1,-122.405380265874,37.7898655845388,away,win
ROBBERY,19,Game 1,-122.420250482603,37.7800745746334,away,win
LARCENY/THEFT,19,Game 1,-122.402070243227,37.7887198688133,away,win
VANDALISM,19,Game 1,-122.426384450806,37.764643937262,away,win
OTHER OFFENSES,19,Game 1,-122.403404791479,37.775420706711,away,win
LARCENY/THEFT,19,Game 1,-122.404385042303,37.7721958190345,away,win
BURGLARY,19,Game 1,-122.410802477808,37.7743299153836,away,win
NON-CRIMINAL,18,Game 1,-122.39998111124,37.7776242389287,away,win
SUSPICIOUS OCC,18,Game 1,-122.418361693032,37.7571229384933,away,win
LARCENY/THEFT,18,Game 1,-122.411279189969,37.7715785765043,away,win
DRUG/NARCOTIC,18,Game 1,-122.413679376888,37.7809258336852,away,win
DRUG/NARCOTIC,18,Game 1,-122.413679376888,37.7809258336852,away,win
DRUG/NARCOTIC,18,Game 1,-122.413679376888,37.7809258336852,away,win
NON-CRIMINAL,18,Game 1,-122.419858277339,37.786137125238,away,win
LARCENY/THEFT,18,Game 1,-122.419697721691,37.7773009526003,away,win
NON-CRIMINAL,18,Game 1,-122.406346425632,37.7791674218963,away,win
"SEX OFFENSES, FORCIBLE",18,Game 1,-122.406844394483,37.7946548898815,away,win
"SEX OFFENSES, FORCIBLE",18,Game 1,-122.406844394483,37.7946548898815,away,win
DRUG/NARCOTIC,18,Game 1,-122.414982189933,37.7760876960393,away,win
WARRANTS,18,Game 1,-122.414982189933,37.7760876960393,away,win
OTHER OFFENSES,18,Game 1,-122.414982189933,37.7760876960393,away,win
LARCENY/THEFT,18,Game 1,-122.41958059212,37.8067799239331,away,win
NON-CRIMINAL,18,Game 1,-122.416991089644,37.777074192256,away,win
LARCENY/THEFT,18,Game 1,-122.407854234538,37.7854922044602,away,win
BURGLARY,18,Game 1,-122.408431861057,37.7887772719153,away,win
BURGLARY,18,Game 1,-122.398187664281,37.7967148853927,away,win
LARCENY/THEFT,18,Game 1,-122.398187664281,37.7967148853927,away,win
LARCENY/THEFT,18,Game 1,-122.414635954342,37.806501229113,away,win
LARCENY/THEFT,18,Game 1,-122.41314231312,37.7541658571765,away,win
SECONDARY CODES,18,Game 1,-122.404524734354,37.7785759412204,away,win
VANDALISM,18,Game 1,-122.417361447481,37.7530927418726,away,win
BURGLARY,18,Game 1,-122.409636357172,37.7901077124214,away,win
VANDALISM,18,Game 1,-122.409636357172,37.7901077124214,away,win
OTHER OFFENSES,18,Game 1,-122.404524734354,37.7785759412204,away,win
OTHER OFFENSES,18,Game 1,-122.404524734354,37.7785759412204,away,win
OTHER OFFENSES,17,Game 1,-122.408710606663,37.7809706722053,away,win
VANDALISM,17,Game 1,-122.40809943667,37.7953991562138,away,win
LARCENY/THEFT,17,Game 1,-122.388007401911,37.7871027247566,away,win
OTHER OFFENSES,17,Game 1,-122.408192367379,37.7528534193268,away,win
LARCENY/THEFT,17,Game 1,-122.438701348232,37.8004498859761,away,win
LARCENY/THEFT,17,Game 1,-122.402685189718,37.7965749612893,away,win
NON-CRIMINAL,17,Game 1,-122.411302813025,37.7855355791102,away,win
LARCENY/THEFT,17,Game 1,-122.412690142308,37.7493688284532,away,win
FRAUD,17,Game 1,-122.412690142308,37.7493688284532,away,win
BURGLARY,17,Game 1,-122.40864873517,37.7773110274033,away,win
WARRANTS,16,Game 1,-122.418182397674,37.7865662290665,away,win
LARCENY/THEFT,16,Game 1,-122.407244087032,37.7865647607685,away,win
DRUG/NARCOTIC,16,Game 1,-122.407244087032,37.7865647607685,away,win
DRUG/NARCOTIC,16,Game 1,-122.422367409563,37.7698682392455,away,win
OTHER OFFENSES,16,Game 1,-122.422367409563,37.7698682392455,away,win
SUSPICIOUS OCC,16,Game 1,-122.416583456133,37.7786591541508,away,win
NON-CRIMINAL,16,Game 1,-122.409422031686,37.7788942420529,away,win
FRAUD,16,Game 1,-122.409031505971,37.7992531925554,away,win
VEHICLE THEFT,16,Game 1,-122.40481652565,37.7966551079447,away,win
FORGERY/COUNTERFEITING,16,Game 1,-122.402163713618,37.7895710255863,away,win
FORGERY/COUNTERFEITING,16,Game 1,-122.402163713618,37.7895710255863,away,win
LARCENY/THEFT,16,Game 1,-122.403404791479,37.775420706711,away,win
FRAUD,16,Game 1,-122.403404791479,37.775420706711,away,win
LARCENY/THEFT,16,Game 1,-122.39595792334,37.7836037602517,away,win
ASSAULT,15,Game 1,-122.418587172219,37.7530186537446,away,win
NON-CRIMINAL,15,Game 1,-122.420818330445,37.7828946450912,away,win
ROBBERY,15,Game 1,-122.40642786236,37.78710945429,away,win
LARCENY/THEFT,15,Game 1,-122.419570516564,37.8058780896194,away,win
OTHER OFFENSES,15,Game 1,-122.414302052544,37.781863316866,away,win
NON-CRIMINAL,15,Game 1,-122.408433097286,37.7967039278443,away,win
NON-CRIMINAL,15,Game 1,-122.408433097286,37.7967039278443,away,win
LARCENY/THEFT,15,Game 1,-122.403404791479,37.775420706711,away,win
LARCENY/THEFT,15,Game 1,-122.417626725981,37.8008227529584,away,win
LARCENY/THEFT,15,Game 1,-122.406968808147,37.7932181947442,away,win
OTHER OFFENSES,15,Game 1,-122.407844136792,37.7767462195389,away,win
VANDALISM,15,Game 1,-122.409061067118,37.7966786637547,away,win
BURGLARY,15,Game 1,-122.404387129122,37.8060783886253,away,win
OTHER OFFENSES,14,Game 1,-122.415127837608,37.7797870676495,away,win
DRUG/NARCOTIC,14,Game 1,-122.411071423064,37.7817511307229,away,win
LARCENY/THEFT,14,Game 1,-122.406539115148,37.7564864109309,away,win
WARRANTS,14,Game 1,-122.403404791479,37.775420706711,away,win
LARCENY/THEFT,14,Game 1,-122.408231026261,37.787359494956,away,win
FRAUD,14,Game 1,-122.408231026261,37.787359494956,away,win
NON-CRIMINAL,14,Game 1,-122.402246029097,37.7810888153345,away,win
NON-CRIMINAL,14,Game 1,-122.413045971966,37.7738617771611,away,win
ASSAULT,14,Game 1,-122.403404791479,37.775420706711,away,win
ASSAULT,14,Game 1,-122.403404791479,37.775420706711,away,win
NON-CRIMINAL,14,Game 1,-122.414217817669,37.774239170665,away,win
LARCENY/THEFT,14,Game 1,-122.407633520742,37.7841893501425,away,win
OTHER OFFENSES,14,Game 1,-122.407633520742,37.7841893501425,away,win
LARCENY/THEFT,14,Game 1,-122.407633520742,37.7841893501425,away,win
